Nuevo León,Monterrey,2017-11-01T17:05:22-07:00,0022,,http://www.lapoliciaca.com/nota-roja/causa-polemica-en-redes-sociales-nina-disfrazada-de-frida-sofia/
Sinaloa,Culiacán,2017-11-01T09:25:05-07:00,0023,,http://www.lapoliciaca.com/nota-roja/dos-bebes-y-una-joven-mujer-mueren-en-un-voraz-incendio-que-consumio-su-casa/
Estado de México,Zinacantepec,2017-11-01T07:45:23-07:00,0024,,http://www.lapoliciaca.com/nota-roja/mueren-cuatro-adultos-y-un-bebe-que-intentaban-calentarse-con-un-anafre/
Jalisco,Guadalajara,2017-10-31T06:36:26-07:00,0028,ASESINATO,http://www.lapoliciaca.com/nota-roja/hallan-cadaver-de-mujer-fue-desollada-y-aparentemente-agredida-sexualmente/
Guerrero,Chilpancingo,2017-10-30T21:36:20-07:00,0029,ASESINATO:DISPAROS,http://www.lapoliciaca.com/nota-roja/ejecutan-a-balazos-a-testigo-de-jehova/
Estados Unidos,California,2017-10-30T19:14:11-07:00,0030,DISPAROS,http://www.lapoliciaca.com/nota-roja/matrimonio-sobrevive-tiroteo-en-las-vegas-y-dias-despues-muere-en-accidente-automovilistico/
Puebla,Puebla,2017-10-30T18:13:06-07:00,0033,,http://www.lapoliciaca.com/nota-roja/muere-en-su-moto-a-unos-dias-de-haberla-comprado/
Chiapas,Reforma,2017-10-30T18:03:24-07:00,0034,,http://www.lapoliciaca.com/nota-roja/madre-intenta-quitarse-la-vida-con-raticida-y-sus-hijos-tambien-se-envenenan/
Baja California,Tijuana,2017-10-30T07:05:26-07:00,0035,,http://www.lapoliciaca.com/nota-roja/abuelito-queria-morir-y-le-prendio-fuego-a-su-habitacion-en-un-asilo-de-ancianos-mueren-seis/
España,Madrid,2017-10-30T06:05:26-07:00,0036,SECUESTRO,http://www.lapoliciaca.com/nota-roja/detienen-a-la-secuestradora-del-ataud-huyo-de-mexico-la-capturan-en-espana/
Chihuahua,Chihuahua,2017-10-30T05:55:56-07:00,0037,,http://www.lapoliciaca.com/nota-roja/yo-solo-trataba-de-calmarla-la-sujete-abrazandola-pero-la-aprete-mucho-y-la-asfixie/
Veracruz,Tuxpan,2017-10-30T05:55:12-07:00,0038,ASESINATO:SECUESTRO,http://www.lapoliciaca.com/nota-roja/la-mataron-cuando-regresaba-de-pagar-el-rescate-de-su-marido/
Sinaloa,Navolato,2017-10-30T02:30:24-07:00,0039,ASESINATO,http://www.lapoliciaca.com/nota-roja/hallan-muerta-a-nina-de-6-anos-que-fue-raptada-cuando-iba-a-la-tienda-a-comprar-dulces/
Estado de México,Ecatepec,2017-10-26T05:58:10-07:00,0041,,http://www.lapoliciaca.com/nota-roja/nino-de-11-anos-decide-quitarse-la-vida-porque-su-mama-no-lo-queria/
Guanajuato,Apaseo el Grande,2017-10-26T05:55:34-07:00,0042,,http://www.lapoliciaca.com/nota-roja/travesura-le-costo-la-vida-a-un-nino-de-11-anos/
San Luis Potosí,Tamazunchale,2017-10-26T03:23:51-07:00,0043,,http://www.lapoliciaca.com/nota-roja/profesor-violo-a-una-alumna-en-la-biblioteca-de-la-escuela/
Hidalgo,Pachuca,2017-10-25T06:28:18-07:00,0045,,http://www.lapoliciaca.com/nota-roja/queria-ver-a-su-hija-y-termino-muerto/
Veracruz,San Pedro Soteapan,2017-10-25T06:12:23-07:00,0046,ASESINATO,http://www.lapoliciaca.com/nota-roja/hallan-asesinada-a-estudiante-de-secundaria-que-desaparecio-al-salir-a-comprar-a-la-papeleria/
Estado de México,Toluca,2017-10-24T22:04:51-07:00,0047,,http://www.lapoliciaca.com/nota-roja/desaparecio-el-dia-que-discutio-con-su-novio-fue-hallada-ahogada/
Tlaxcala,Mazatecohco,2017-10-24T22:01:35-07:00,0048,,http://www.lapoliciaca.com/nota-roja/asi-fue-el-secuestro-y-homicidio-de-jazmin-video/
